Dates In Office,Name,Link Name,Page Name,Website,Living Years,Gender,Facial Hair,Glasses,Neck Decorations,Image Link,Description
At the end of his second term, Thompson did not seek re-election.  In 1917, Thompson became a civilian aid to the Adjutant General of Fort Oglethorpe and served in the position for two years.  After returning to private business, Thompson’s lifelong interest in improving the lives of children continued, and he worked to establish a children’s hospital.  Working through the Civitan Club, Thompson privately raised funds for the hospital before asking the city and county to issue $250,000 in bonds for the project.  During the construction of the eighty-nine bed Children’s Hospital, Thompson insisted that distinction not be made in patient areas so that those without means were not separated into “charity wards.” 
T.C. Thompson served on the board of the Childrens’ Hospital until his death in 1938.  Six years later, the board of trustees voted to change the name of the hospital to the T.C. Thompson Childrens’ Hospital.

 
	
						 
	         _                            Close"

1915-1919,Jesse M. Littleton ,1915-1919 Jesse M. Littleton,1915-1919 Jesse M. Littleton,http://www.chattanooga.gov/about-chattanooga/history-of-mayors/1915-1919-jesse-m-littleton,"(Lived March 9, 1867 – April 22, 1923)",Male,,,,http://www.chattanooga.gov/images/Mayor_Images/Jesse_M_Littleton_1915-1919.jpg,"1915-1919 Jesse M. Littleton 
	
													
								
	

	
		
						 
	




(Lived March 9, 1867 – April 22, 1923)
Born in Kingston, Tennessee, Jesse Littleton moved with his father to Texas as a child but returned to Tennessee to live with his brother John, the publisher of the Nashville Republican.  Under his brother’s tutelage, Jesse worked in the newspaper business before becoming involved in state politics.  Appointed to a position with the United States Revenue Service, Littleton moved to Winchester, Tennessee. President Benjamin Harding appointed Littleton postmaster for Winchester, and President Grover Cleveland renewed the appointment.  Following these appointments, Littleton served a term as mayor for Winchester.
Littleton moved to Chattanooga in 1911 to practice law.  Elected mayor in 1915, Littleton oversaw the completion of the Market Street Bridge, the dedication of Lincoln Park for the city’s black citizens, and the merger of James County with Hamilton County.

 
	
						 
	         _                            Close"

1919-1923,Alexander Wilds Chambliss ,1919-1923 Alexander Wilds Chambliss,1919-1923 Alexander Wilds Chambliss,http://www.chattanooga.gov/about-chattanooga/history-of-mayors/1919-1923-alexander-wilds-chambliss,,Male,,,,http://www.chattanooga.gov/images/Mayor_Images/colorseal_sm.gif,"1919-1923 Alexander Wilds Chambliss 
	
													
								
	

	
		
						 
	




Former Mayor Alexander Chambliss ran for a third term of service using the slogan: “A good name is as worth while to a city as it is for a man.”   During Mayor Chambliss’ third term in office, the Tivoli Theater opened, construction of the Soldiers and Sailors Memorial Auditorium began, and the city’s first airport opened.  Mayor Chambliss and the city commission also changed traffic within the city as they passed an ordinance banning horse-drawn vehicles on Market Street.
Mayor Chambliss was re-elected in 1923. However, he resigned from the office a month later to accept an appointment to the Tennessee Supreme Court.

 
	
						 
	         _                            Close"

1923-1927,Richard Hardy  ,1923-1927 Richard Hardy,1923-1927 Richard Hardy,http://www.chattanooga.gov/about-chattanooga/history-of-mayors/1923-1927-richard-hardy,"(Lived June 29, 1868 – August 14, 1927)",Male,,,,http://www.chattanooga.gov/images/Mayor_Images/Richard_Hardy_1923-1927.jpg,"1923-1927 Richard Hardy 
	
													
								
	

	
		
						 
	




(Lived June 29, 1868 – August 14, 1927)
Upon graduation from the University of Michigan, Richard Hardy became superintendent of public schools in Ypsilanti, Michigan.  A few years later, he transferred to Escanaba, Michigan before leaving education to become a salesman for Prang Educational Company in Chicago.  In 1905, George Millen of Michigan asked Hardy to assist in establishing the Dixie Portland Cement Company in Richard City, Marion County, Tennessee.  Hardy agreed, moved south, and became secretary of the company.  Though he moved to Chattanooga in 1907, Hardy remained active in the Cement Company and became president of the Company in 1914, a position he held until his death in 1927.  Very interested in making sure that children have the opportunity to receive a good education, Hardy oversaw the establishment of a company built school at Richard City.  With the company paying for construction, teachers, books and all needs of the school, the school became a “model school” for new educational techniques.  Hardy often said that the establishment of this school was the best thing he accomplished. 
Upon the resignation of Mayor Chambliss, Chattanooga commissioners voted to elect Edward David Bass as mayor. However, due to influence from the Tennessee Governor, Bass declined the position, and Richard Hardy was asked to complete the four-year term of Mayor Chambliss. 
Mayor Hardy died just four months after the completion of his term.  Upon his death, it was noted that, although the Mayor and his wife had no children, that they had been instrumental in the lives of many, as they paid for almost one hundred boys to attend college.

 
	
						 
	         _                            Close"

1927-1947,Edward David Bass ,1927-1947 Edward David Bass,1927-1947 Edward David Bass,http://www.chattanooga.gov/about-chattanooga/history-of-mayors/1927-1947-edward-david-bass,"(Lived March 28, 1873 – March 12, 1960)",Male,,,,http://www.chattanooga.gov/images/Mayor_Images/ED_Bass_1927-1947.jpg,"1927-1947 Edward David Bass 
	
													
								
	

	
		
						 
	




(Lived March 28, 1873 – March 12, 1960)
Elected mayor in 1927, Edward David Bass became only the second mayor to have been born in Chattanooga. Unlike the other, Hugh Whiteside, Bass’s family was not a family of great wealth.  Orphaned at the age of eleven, Bass left school to begin work along the production line at the D.M. Stewart Manufacturing Plant.  By 1900, Bass had saved enough money to follow in his father’s footsteps and open a grocery on the corner of Main Street and Central Avenue.
In 1906, as a group of businessmen formed the Highland Park Business League and searched for a candidate to run for the Hamilton County Court; Bass agreed to be a candidate.  Upon winning the seat, Bass sold his grocery store and dedicated his life to public service.  In 1911, as Mayor T.C. Thompson led the campaign to change the city government to the commission format, Bass ran for the state senate.  As a Senator, Bass helped pass the legislature that allowed Chattanooga to change its city government structure.  After his senate term, Bass returned to Chattanooga and served as Commissioner of Streets and Sewers for three terms.  During his service as a commissioner, Bass attended the University of Chattanooga’s Law School and passed the bar at the age of forty-six. 
Upon the resignation of Mayor Chambliss in 1923, Bass’s fellow Commissioners elected him mayor.  However, state politics kept Bass from accepting the position.  In 1923, as Governor Austin Peay prepared to appoint Mayor Chambliss to the Tennessee Supreme Court, he was pressured to not appoint Chambliss if it meant that Bass would become mayor in Chattanooga.  Governor Peay then asked Bass to promise that, if elected, he would not serve.  Bass did as the Governor asked.  The motivation for this political action appears to have been pressure from the statewide Ku Klux Klan, who promised to have Chambliss’ appointment blocked if Bass was to step up to the position of mayor in Chattanooga.
During his last term as Commissioner of Streets and Sewers, Bass performed an act that may be the one he is most remembered for; he extended Broad Street past Ninth Street (today, Martin Luther King Boulevard.)  At the time, Broad Street ended at Ninth Street where a row of brick buildings sat upon the southern side of Ninth Street across from Broad Street.  The warehouses, owned by the state of Georgia, sat empty, and Bass worked for many years to negotiate the purchase of the buildings so that Broad Street could be opened to the south.  Georgia officials continually refused to sell the buildings.  On May 6, 1926, a Friday night, without consulting the Mayor, city attorney or other commissioners, Commissioner Bass led a large crew of street department workers in descending upon the buildings and tore them down.  Beginning this mission around 6:00 pm, Bass drove the first car through the opened buildings around midnight.  According to news accounts, word of the escapade spread quickly, and the streets filled with citizens cheering Bass and his workmen.  The Elks Club Band, said to be practicing nearby, appeared and played the song “Marching through Georgia.”  By Monday morning, the length of Broad Street was extended.  The state of Georgia sought immediate action against the city, but the Supreme Court ruled that a state’s sovereignty ended at the state line.  The following Saturday, Commissioner Bass and his crew began the destruction of buildings that blocked Broad Street at Eleventh.  At the end of his project, Commissioner Bass had successfully opened Broad Street south to link with Whiteside Street (which ran from Lookout Mountain to Twelfth Street.)  Today, Whiteside Street is known as South Broad Street.
In 1927, the city of Chattanooga elected Bass as mayor and re-elected him for the next five terms.  Mayor Bass led the city through many events, including the nation’s Great Depression.  Upon his retirement in 1947, Bass said he took great pride in the fact that, during the Depression, Chattanooga was one of the few cities able to meet its debts without issuing city script.  At the time, Bass noted that not only did Chattanooga pay all its debt but continued to pay all of its city employees without raising the tax rate.
In 1929, Mayor Bass oversaw the annexation of many of Chattanooga’s suburbs including St. Elmo, Missionary Ridge, Alton Park, North Chattanooga, Brainerd and Riverview.  These annexations doubled the size of Chattanooga.   
In a press conference on June 17, 1946, Bass announced that he would not seek re-election the following year but would complete his term even though his doctors had asked him to resign from office due to health problems.  On January 10, 1947, three months before his term ended, Bass’s health forced him to resign.

 
	
						 
	         _                            Close"

1947,Elijah Radford Betterton Jr.,1947 Elijah Radford Betterton Jr.,1947 Elijah Radford Betterton Jr.,http://www.chattanooga.gov/about-chattanooga/history-of-mayors/1947-elijah-radford-betterton-jr,"(Lived June 29, 1879 – January 10, 1958)",Male,,,,http://www.chattanooga.gov/images/Mayor_Images/ER_Betterton_1947.jpg,"1947 Elijah Radford Betterton Jr. 
	
													
								
	

	
		
						 
	




(Lived June 29, 1879 – January 10, 1958)
Upon the resignation of Mayor Bass, the city commission appointed Commissioner of Fire and Police Elijah Betterton as acting mayor.  Better known as “Lige,” Mayor Betterton had first been elected to the City Commission in 1935 and served as the Commissioner of Streets and Sewers for six years.  Mayor Betterton did not seek a full term as mayor and retired from public service at the end of his term as acting mayor.

 
	
						 
	         _                            Close"

1947-1951,Hugh Wasson  ,1947-1951 Hugh Wasson,1947-1951 Hugh Wasson,http://www.chattanooga.gov/about-chattanooga/history-of-mayors/1947-1951-hugh-wasson,"(Lived April 26, 1889 – January 10, 1958)",Male,,,,http://www.chattanooga.gov/images/Mayor_Images/Hugh_Wasson_1947.jpg,"1947-1951 Hugh Wasson 
	
													
								
	

	
		
						 
	




(Lived April 26, 1889 – January 10, 1958)
Hugh Wasson moved to Chattanooga in 1929 to open the Colonial Baking Company and became a successful businessman active in the community.  Passing the company to his son in 1946, Wasson retired as President of Colonial Baking.  Upon the urging of a group of local businessmen, Hugh Wasson announced his candidacy for mayor on February 11, 1947, just one month prior to the 1947 Mayoral election.  In what the local newspaper called “one of the closest elections in the city’s history,” Wasson won the Mayoral seat. 
Stating that he believed in sound planning and fiscal policies, Mayor Wasson said that he would run the city like he ran his successful business.  Mayor Wasson instituted the policy that the city would produce monthly financial statements for public perusal instead of the yearly financial statements that had been the city’s norm.  He also pushed for the collection of back taxes, and during his term, the city collected $600,000 in overdue taxes. 
Elected in the post World War II era, Mayor Wasson came into office facing “streets without surfaces, students without schools and districts without police.”  To solve part of these problems, Mayor Wasson oversaw a bond issue for $1,200,000 in 1947.  Plans for this money included city street work, sewer extension, and a new Second District school.

 
	
						 
	         _                            Close"

1951-1963,Peter Rudolph Rudy Olgiati,"1951-1963 Peter Rudolph ""Rudy"" Olgiati","1951-1963 Peter Rudolph ""Rudy"" Olgiati",http://www.chattanooga.gov/about-chattanooga/history-of-mayors/1951-1963-peter-rudolph-qrudyq-olgiati,"(Lived August 24, 1901 – August 6, 1989)",Male,,,,http://www.chattanooga.gov/images/Mayor_Images/PR_Olgiati_2_1951.jpg,"1951-1963 Peter Rudolph ""Rudy"" Olgiati 
	
													
								
	

	
		
						 
	




(Lived August 24, 1901 – August 6, 1989)
Rudy Olgiati’s mother moved the family from Gruetli (Grundy County), Tennessee to Chattanooga after his father died in 1913.  Olgiati grew up in the Alton Park and St. Elmo regions of Chattanooga.  Olgiati briefly attended the Chicago Technical Institute.  Olgiati worked for the Chattanooga Glass Company before going into construction work.  Olgiati began construction as a bricklayer but worked his way up to being superintendent of a very large construction company.
In the late 1930s, Olgiati joined the city’s department of Public Utilities and became superintendent of Warner Park.  Olgiati served in the United States Corp of Engineers during World War II, making the rank of major before being discharged in 1945. 
Less than a year after Olgiati returned to Chattanooga and his job at Warner Park, he was appointed to fill a vacancy on the Chattanooga Commission.  Appointed Department of Public Service Commissioner in 1946, Olgiati ran for the seat the following year and won.  Four years later, Olgiati sought the Mayor’s seat and defeated incumbent Mayor Wasson.
Early in his first term, Mayor Olgiati announced a $100,000,000 “Program of Progress,” that he hoped to fund through federal grants.  Mayor Olgiati was successful in this and today is credited with laying the modern infrastructure of Chattanooga.  As the country planned for the national interstate system, Olgiati worked to assure that Chattanooga kept pace and under his guidance the city became the first in Tennessee to have a completed interstate system.
Mayor Olgiati sought re-election and won in 1955 and 1959.  He sought the Democratic Nomination for Governor of Tennessee in 1962 but lost to incumbent Buford Ellington. 
The list of major municipal projects completed during Mayor Olgiati’s include construction of a second tunnel through Missionary Ridge beside the McCallie Avenue Tunnel, the widening of Rossville Boulevard, completion of a third downtown bridge across the Tennessee River (named the Olgiati Bridge in 1959) and the modernization of the Lovell Field Airport.  Mayor Olgiati’s development of the city’s west side through the Golden Gateway Project included the controversial project of removing the top half of downtown landmark Cameran Hill.  Upon construction of an overpass on Dodds Avenue and  completion of the second ridge tunnel near McCallie Avenue, the city converted many of the city’s streets to one-way in an attempt to improve traffic.  At this time, McCallie, Bailey, and Martin Luther King Boulevard (at the time Ninth Street) became one-way.  Relocation of the railroad from downtown, and modernization of the city’s sewer system were also completed during Mayor Olgiati’s three terms.
Mayor Olgiati sought a fourth term as Mayor in 1963 but lost the election.

 
	
						 
	         _                            Close"

1963-1969,Ralph H. Kelley ,1963-1969 Ralph H. Kelley,1963-1969 Ralph H. Kelley,http://www.chattanooga.gov/about-chattanooga/history-of-mayors/1963-1969-ralph-h-kelley,"(Lived September 23, 1928-June 24, 2004)",Male,,,,http://www.chattanooga.gov/images/Mayor_Images/Ralph_Kelley_1963.jpg,"1963-1969 Ralph H. Kelley 
	
													
								
	

	
		
						 
	




(Lived September 23, 1928-June 24, 2004)
A native Chattanoogan, Ralph Kelly received a degree in political science from the University of Chattanooga and a law degree from Vanderbilt University.  Kelley entered practice in Chattanooga in 1954 and was appointed assistant prosecutor in the city’s attorney general office.  Kelley’s first political campaign was for the local seat in the Tennessee House of Representatives.  After this four year term, Kelley announced his candidacy for Chattanooga mayor.  On March 12, 1963, Kelley defeated incumbent Mayor Rudy Olgiati.  Upon his election, Kelley becomes the first University of Chattanooga graduate and the youngest person to be elected Mayor of Chattanooga. 
In a sweeping change in Chattanooga’s history, Mayor Kelley declared all city facilities “open to all.”  This action on September 24, 1963, opened all public buildings, parks, playgrounds, swimming pools, golf courses and community centers began Chattanooga’s desegregation.  As the south worked through desegregation, Mayor Kelley worked with representatives of all communities in Chattanooga to try to ease citizens’ concerns.  Interviewed many years later, Mayor Kelley looked back on the time and stated “At least we kept Chattanooga off the front page of national newspapers at a time that they were highlighting actions across the south.”
Re-elected in 1967, Mayor Kelley only served two years of his second term, as he resigned effective January 1, 1969, to accept an appointment as referee for the Eastern District of the United States Bankruptcy Court.

 
	
						 
	         _                            Close"

1969-1971,Austin Letheridge Chunk Bender,"1969-1971 Austin Letheridge ""Chunk"" Bender","1969-1971 Austin Letheridge ""Chunk"" Bender",http://www.chattanooga.gov/about-chattanooga/history-of-mayors/1969-1971-austin-letheridge-qchunkq-bender,"(Lived June 6, 1916 – August 28, 1980)",Male,,,,http://www.chattanooga.gov/images/Mayor_Images/A_L_Bender_1969.JPG,"1969-1971 Austin Letheridge ""Chunk"" Bender 
	
													
								
	

	
		
						 
	




(Lived June 6, 1916 – August 28, 1980)
Commissioner of Public Works and Vice-Mayor A.L. “Chunk” Bender assumed the office of Mayor on January 1, 1969, upon the resignation of Mayor Ralph Kelley.  Following four years of service during World War II, Bender returned to Chattanooga and became superintendent of city parks, a position he maintained until an unsuccessful bid for the county commission in 1955.  In 1958, County Judge Wilkes Thrasher brought Bender back into public service by appointing him county manager.  Upon the death of Public Works Commissioner Pat Wilcox in 1962, Bender was appointed to finish the term.    Commissioner Bender ran successfully for a full term in 1963 and was re-elected in 1967 without opposition.  Commissioner Bender received the largest percentage of votes among the other commissioners, and thus he became vice-mayor under Mayor Ralph Kelley. 
On December 3, 1968, Mayor Kelly announced his resignation, passing the office of Mayor to “Chunk” Bender effective January 1, 1969.  Due to ailing health and on his doctor’s advice, Mayor Bender resigned from office on January 26, 1971.

 
	
						 
	         _                            Close"

1971,S. Dean Peterson ,1971 S. Dean Peterson,1971 S. Dean Peterson,http://www.chattanooga.gov/about-chattanooga/history-of-mayors/1971-s-dean-peterson,"(Lived --------, 1903 – November 22, 1986)",Male,,,,http://www.chattanooga.gov/images/Mayor_Images/colorseal_sm.gif,"1971 S. Dean Peterson 
	
													
								
	

	
		
						 
	




(Lived --------, 1903 – November 22, 1986)
Following the resignation of Mayor “Chunk” Bender, vice mayor and Commissioner of Education and Health, Dean Peterson, became Mayor.  With the general election less than eight weeks from the time that Mayor Bender resigned, Mayor Peterson maintained his role of Commissioner of Education and Health while overseeing the daily workings of the city government.  Mayor Peterson did not seek the office of mayor in 1971.

 
	
						 
	         _                            Close"

1971-1975,Robert Kirk Walker ,1971-1975 Robert Kirk Walker,1971-1975 Robert Kirk Walker,http://www.chattanooga.gov/about-chattanooga/history-of-mayors/1971-1975-robert-kirk-walker,"(Lived May 22, 1925 - )",Male,,,,http://www.chattanooga.gov/images/Mayor_Images/Robert_Kirk_Walker_1971.jpg,"1971-1975 Robert Kirk Walker 
	
													
								
	

	
		
						 
	




(b. May 22, 1925 - )
A native Chattanoogan, Robert Kirk Walker attended the University of the South and the University of Virginia School of Law.  While maintaining his law practice, Walker was active in community service, especially interested in education and the need for higher education in Chattanooga.  He served as chairman of the Special Four Year State College Committee and the Educational Task Force set up by the Chattanooga Chamber of Commerce.  In this position, he pushed legislation that allowed the University of Chattanooga and the University of Tennessee to merge, creating the University of Tennessee at Chattanooga.  Walker was also influential in gaining state funds for the expansion of Chattanooga State and relocating the school to its current location on Amnicola Highway.
These experiences and his desire to help further develop Chattanooga, led Walker to announce his candidacy for mayor in late 1970.  Elected in March 1971, Mayor Walker took the helm as Chattanooga faced race riots, fire bombings, and downtown decline. 
Throughout his term, Mayor Walker created the Chattanooga Area Regional Transportation Authority (CARTA) to improve public transportation, repealed Sunday Blue Laws allowing businesses to open at 1:00pm on Sundays, and lead the city in a time of great expansion through annexation.  When Mayor Walker took office, the city of Chattanooga consisted of 56.3 square miles and 119,923 citizens. At the end of his term, the city contained 120.1 square miles and 169,952 people.
Mayor Walker brought national attention to Chattanooga through the digitization of city records.  Under Mayor Walker’s leadership, the city developed an information retrieval system designed to computerize data used to assist forty-two government and private agencies.  By 1973, the system was a prototype for other city governments, and Mayor Walker was invited to address the National Computer Conference held in New York City.  Between 1973 and 1975, 130 local governments in thirty-two states visited Chattanooga to see the Human Services Delivery System and Urban Management Information System in use.
Mayor Walker was also instrumental in orchestrating a joint agreement between the city and county to build the Chattanooga Hamilton County Bicentennial Library, consolidating police services at the Police Services Center on Amnicola Highway, and setting aside land for three public parks, including what is today Miller Park.

 
	
						 
	         _                            Close"

1975-1983,Charles A. “Pat” Rose,1975-1983 Charles A. “Pat” Rose,1975-1983 Charles A. “Pat” Rose,http://www.chattanooga.gov/about-chattanooga/history-of-mayors/1975-1983-charles-a-pat-rose,"(Lived October 5, 1930 - )",Male,,,,http://www.chattanooga.gov/images/Mayor_Images/Charles_A_Pat_Rose1975-1983.jpg,"1975-1983 Charles A. “Pat” Rose 
	
													
								
	

	
		
						 
	




(b. October 5, 1930 - )
A native of Orlando, Florida, Charles A. “Pat” Rose began working as an assistant traffic engineer in Chattanooga in April 1964.  In November 1965, he became City Coordinator, an office he filled for four years.  In January 1969, when vice-mayor and Commissioner of Public Works, A.L. “Chunk” Bender became mayor, Rose was appointing acting Commissioner of Public Works.  In his first political race, Mr. Rose won a full term as Commissioner in March 1971.  As the city charter read at the time, the commissioner with the second most votes in the general election served as vice-mayor, so Rose also served in that capacity as he served as Commissioner of Public Works. 
Elected mayor in 1975, Pat Rose pushed for the redevelopment of the central business district.  A successful first term allowed Mayor Rose to run for re-election without opposition in 1979.  During his terms as mayor, the Chattanooga Hamilton County Bicentennial Library opened, TVA offices expanded downtown, and the expansion of the Moccasin Bend Waste Treatment plant and the extension of city sewers.  Mayor Rose pushed for and saw construction of the C.B. Robinson Bridge, offering citizens another way across the Tennessee River.  
Upon retirement in 1983, Mayor Rose entered the private business world. However, in 1987, stating that he missed public service, the former mayor ran for and was elected as the Commissioner of Public Utilities.  Mr. Rose served in that capacity until 1990 when a change in the city charter changed Chattanooga’s form of government from a City Commission to a City Council.

 
	
						 
	         _                            Close"

1983-1997,Gene Roberts  ,1983-1997 Gene Roberts,1983-1997 Gene Roberts,http://www.chattanooga.gov/about-chattanooga/history-of-mayors/1983-1997-gene-roberts,"(Lived August 17, 1932 - January 31, 2013)",Male,,,,http://www.chattanooga.gov/images/Mayor_Images/Gene_Roberts_1983.jpg,"1983-1997 Gene Roberts 
	
													
								
	

	
		
						 
	(August 17, 1932 - January 31, 2013)
Born in Chattanooga, Gene Roberts graduated from Chattanooga High School, served in the U.S. Navy during the Korean War, and returned to Chattanooga as a copy editor and reporter for the Chattanooga News Free Press.  In 1958, Roberts graduated from the University of Chattanooga and rejoined the News Free Press as a reporter.  Roberts left the newspaper in 1960 to become the Public Information Officer for Mayor P.R. Olgiati.  Following Olgiati’s term as mayor, Roberts joined the FBI as a special agent, a position he held for three years before returning to Chattanooga. 
Roberts first political race came in 1971 when he ran against incumbent James “Bookie” Turner for the seat of Fire and Police Commissioner.  Roberts won the race and four years later was re-elected with 65% of the vote.  Tennessee Governor Lamar Alexander appointed Roberts as the head of the Tennessee Safety Department in January 1979.  Roberts remained with the state until November 1982, when he resigned to seek election as mayor of Chattanooga.
With Mayor Pat Rose retiring at the end of his term in March 1983, Roberts joined a field of five others seeking election to the mayor’s office.  On election- day, Roberts won with an overwhelming 56% of the vote.  Mayor Roberts served four terms as mayor until his retirement in 1997.  In June 1989, Mayor Roberts was honored as Mayor of the Year by the Tennessee Municipal League.
In August 1989, the U.S. District Court ruled that Chattanooga’s commission style government was illegal and mandated that the city develop a council system with councilmen elected from individual districts.  In May 1990, the city held an election to install a new mayor and nine councilmen to create the new council system.  Mayor Roberts thus became the first mayor of the new system of government. 
Mayor Roberts oversaw the beginning of the redevelopment of downtown Chattanooga’s waterfront.  He advocated the revitalization of downtown streets, the construction of the Tennessee Aquarium and worked with preservationists to save the Walnut Street Bridge. 
Perhaps the largest issue of his terms of service culminated with a vote in November 1994 to consolidate the city and county school systems.  Mayor Roberts had been a strong advocate for the city to merge its school system with that of Hamilton County’s. Though voters approved the merger, lawsuits kept the two systems from joining until 1996. 
In 1995, Mayor Roberts oversaw the city’s purchase of a portion of the former Volunteer Army Ammunition Plant and stated that the site will serve as a “significant industrial recruitment tool.”  Mayor Roberts announced that he would not seek a fifth term in May 1996.
On January 29, 2013 Mayor Ron Littlefield and other city officials dedicated the Gene Roberts Public Service Complex on East 11th Street; the old Onion Bottom section of Chattanooga where Mayor Roberts grew up. 
	
						 
	         _                            Close"

1997-2001,Jon Kinsey  ,1997-2001 Jon Kinsey,1997-2001 Jon Kinsey,http://www.chattanooga.gov/about-chattanooga/history-of-mayors/1997-2001-jon-kinsey,"(Lived November 11, 1954 - )",Male,,,,http://www.chattanooga.gov/images/Mayor_Images/Jon_Kinsey_1997.jpg,"1997-2001 Jon Kinsey 
	
													
								
	

	
		
						 
	




(November 11, 1954 - )
Jon Kinsey moved to Chattanooga at the age of eight.  Kinsey attended The Baylor School, and as a high school student, he showed great interest in politics.  Kinsey worked with several statewide campaigns, and in the summer of 1972, worked for the Democratic National Convention in Miami Beach.  Kinsey then attended Boston University before returning to Chattanooga.
Going into the building and development business, Kinsey was co-founder of Leonard, Kinsey and Associates and served as chairman of the Chattanooga Area Convention and Visitors Bureau.  In 1996, Kinsey announced his candidacy for mayor, and upon his election on March 4, 1997, he became the first person elected to the city’s top office from outside of city government in twenty-six years.  In his inaugural address, Mayor Kinsey emphasized the need to improve education, increase jobs, and revitalize neighborhoods.
During his first year in office, Mayor Kinsey eliminated the city’s Safety Administration Department in order to separate the Fire and Police Departments, led the City Council to lower property taxes and developed a plan to expand the city’s parks over the next ten years.  Mayor Kinsey also oversaw the establishment of a Department of Neighborhood Services to work with neighborhood associations, maintain housing codes, and act as liaison between tenants and landlords when necessary.
On November 24, 1998, Mayor Kinsey announced plans to take over the Tennessee-American Water Company, so that the city could maintain its own water system.  Over the next year, the city tried to condemn Tennessee-American Water’s property in order to gain control of the company. As a result, the company sued and sought a citizens’ vote on the issue.  On October 25, 1999, the City Council ended the attempted takeover process by agreeing to a settlement with the company.
Mayor Kinsey’s pledge to increase the city’s recreational facilities led the City Council to adopt his $65 million Recreate 2008 plan.  The first step in the plan changes the city’s Parks and Recreation Department to the Department of Parks, Recreation, Art and Culture.  On November 16, 2000, the city acquired 110 acres of land of DuPont Parkway for the construction of soccer fields.  The plan continued with further improvements and expansion in city parks.
Mayor Kinsey did not seek re-election.

 
	
						 
	         _                            Close"

2001-2005,Bob Corker  ,2001-2005 Bob Corker,2001-2005 Bob Corker,http://www.chattanooga.gov/about-chattanooga/history-of-mayors/2001-2005-bob-corker,,Male,,,,http://www.chattanooga.gov/images/Mayor_Images/Bob_Corker_2001.jpg,"2001-2005 Bob Corker 
	
													
								
	

	
		
						 
	 
Mayor Bob Corker was elected in March of 2001 with 54% of the vote. He came to office with a strong focus on economic development, education and revitalizing the city.

In the past three years Mayor Corker has put in place crucial economic development tools to jump start our economy and attract jobs and business to our community. He worked tirelessly with the Chamber to establish a recruitment program, he worked with the county and state to develop a 1,200 acre industrial site, now home to Enterprise South--one of the Southeast’s most promising industrial parks. He worked with leaders in our community to improve and increase air service and he’s established partnerships to take advantage of Chattanooga’s location in the Technology Corridor and help shape a new economy for our citizens.

Perhaps the most visible accomplishments of his administration have been his transformative work on the waterfront and in education.

Early on, Mayor Corker responded to the notice that nine of our urban elementary schools were in trouble and marked by the State as problem facilities. He gathered community leaders and worked hand in hand with the county to establish the Community Education Alliance which provided incentives for teachers and principals at these nine schools. The premise of the Alliance was that every child could learn and that teaching was among the most noble of all professions. After three years, 56 of the school system’s most effective educators are taking advantage of the bonus incentives for high performing teachers and principals. Since the effort began, these schools have outpaced all other schools in the system in student gains and in the fall of 2003 they opened for the first time with not a single position vacant. These schools have become places where educators want to be. These educators and this effort have shown that if public education is supported appropriately, tremendous results can be achieved.

In 2002 the Mayor announced a plan to completely reshape the face of our city through the 21st Century Waterfront Plan. He asked the community for their input and what resulted was a plan that would change the look and feel of our community forever. Mayor Corker worked to establish a $120 million trust to fund the endeavor which came from revenue by taxes paid by visitors and from local donations. This entire effort was completed in a way that leaves absolutely no financial burden on the citizens of Chattanooga.

Today the 21st Century Waterfront Plan is being implemented and defining our community in the eyes of others. Other initiatives like the Public Art Plan and the Outdoor Initiative have grown from this original blueprint for change. Through his determination and with the help of so many in our community, the Mayor has led a revitalization that spans the economic, aesthetic, and educational lines. He has brought people from all walks of life together with a common goal of improving their community and the results have been outstanding.

Mayor Corker’s leadership and enthusiasm for Chattanooga has helped make our community the model of the 21st Century American City. 
	
						 
	         _                            Close"
